"variable","n","media","sd","mediana","q25","q75","iqr","min","max"
"lt06_awa1",16,14103.75,16037.3549460834,7682.5,5687.25,16245.25,10558,530,61629
"lt07_awa2",16,6788.125,7310.10174005807,4505.5,2705,7456.75,4751.75,785,31068
"lt08_awa3",16,6463.875,3752.22035378166,6529.5,3555.25,8781.25,5226,835,14047
"lt09_tru1",16,13195.8125,21196.5030896411,7537,4146,8907.75,4761.75,822,86032
"lt10_tru2",16,7609.125,8220.57229860955,5414,4524,8255.75,3731.75,945,37278
"lt11_tru3",16,10666.3125,9524.63018157836,7178.5,5148.25,11774.75,6626.5,3040,35334
"lt12_pbe1",16,12306.625,14298.0673047094,9585,6955.5,12596.25,5640.75,542,62225
"lt13_pbe2",16,6471.5,3423.27338473962,5301.5,4631.75,8541,3909.25,1050,12829
"lt14_pbe3",16,8953.5,6618.00334441338,7342,5419,9396.75,3977.75,733,26864
"lt15_sef1",16,20775.8125,35551.7639228937,6908.5,4302.5,12708.75,8406.25,349,121809
"lt16_sef2",16,27529.3125,50734.1998468078,4798,3223,8671.75,5448.75,673,159036
"lt17_sef3",16,5814.6875,3061.46755045681,5355.5,4309.75,7911.25,3601.5,349,11433
"lt18_exp1",16,5880.75,2927.48241099185,5846.5,4614.75,7728.25,3113.5,616,11117
"lt19_exp2",16,8416.125,9744.36265659963,5216.5,4263.75,7993,3729.25,532,41584
"lt20_exp3",16,8878.5625,9150.48105816483,5384.5,3532.5,10391,6858.5,416,35642
"lt21_sup1",16,4364,2406.25604068506,4118.5,3471.5,5299.75,1828.25,401,9168
"lt22_sup2",16,4891.375,5267.66414868425,4023.5,2800.5,5122.75,2322.25,349,23703
"lt23_sup3",16,16900,37879.2822723275,4325,2601.25,5964,3362.75,617,151405
"lt24_opp1",16,5066.625,2540.86488883871,5500.5,3499.25,6794.5,3295.25,634,10334
"lt25_opp2",16,6016.1875,6421.52697540338,3844,2787.5,6427.25,3639.75,467,26498
"lt26_opp3",16,5831.25,4583.48825677562,4954,3001.75,6726.25,3724.5,449,19479
"lt27_loc1",16,6167.125,2968.66569073268,6721,4701.75,7596.5,2894.75,956,12996
"lt28_loc2",16,16777.625,40295.37989708,6026,3840.5,8309.5,4469,433,166329
"lt29_loc3",16,9829.9375,15284.7815270342,5411.5,4136.5,8140,4003.5,516,65775
"lt30_reg1",16,4065.8125,2081.74991193307,3852,2489.5,5169.5,2680,566,8126
"lt31_reg2",16,5360.375,5348.80792794058,3562.5,2323.75,5657.75,3334,566,19134
"lt32_reg3",16,5695.125,3539.75650527924,4941.5,3437.5,6829.25,3391.75,833,14826
"lt33_amb1",16,7591.9375,12077.8250330582,4425.5,3562.25,4888,1325.75,634,51140
"lt34_amb2",16,6236.75,4271.50236645921,5644,3933.25,6110.5,2177.25,785,19373
"lt35_amb3",16,4220.3125,2117.23803475975,3927,3231.75,4637.25,1405.5,531,8998
"lt36_eco1",16,4393.3125,2570.59146809316,4012,3322,4640.5,1318.5,399,11976
"lt37_eco2",16,16139.5625,36972.6727281448,7013.5,5116.5,8891.75,3775.25,384,154209
"lt38_eco3",16,9485.375,10652.3036499154,5413.5,4324.25,8272,3947.75,716,38722
