"tott","brws","gend","inte","awa1","awa2","awa3","tru1","tru2","tru3","pbe1","pbe2","pbe3","sef1","sef2","sef3","exp1","exp2","exp3","sup1","sup2","sup3","opp1","opp2","opp3","loc1","loc2","loc3","reg1","reg2","reg3","amb1","amb2","amb3","eco1","eco2","eco3","pact","ot01_agey","dt02_gend","ot03_occu","ot04_tliv","dt05_inte","lt06_awa1","lt07_awa2","lt08_awa3","lt09_tru1","lt10_tru2","lt11_tru3","lt12_pbe1","lt13_pbe2","lt14_pbe3","lt15_sef1","lt16_sef2","lt17_sef3","lt18_exp1","lt19_exp2","lt20_exp3","lt21_sup1","lt22_sup2","lt23_sup3","lt24_opp1","lt25_opp2","lt26_opp3","lt27_loc1","lt28_loc2","lt29_loc3","lt30_reg1","lt31_reg2","lt32_reg3","lt33_amb1","lt34_amb2","lt35_amb3","lt36_eco1","lt37_eco2","lt38_eco3","dt39_pact","ot40_wact","ot41_word","ot42_kno1","ot43_kno2","ot44_kno3","ot45_kno4","ot46_kno5"
1004652,"iPhone",1,"1",4,4,4,5,2,4,2,2,2,4,4,4,2,3,2,2,1,2,4,4,4,4,3,4,5,5,5,4,4,5,5,4,4,"1",3301,2320,16035,22784,2669,41290,4232,3400,3283,5251,4783,20301,4034,4000,11418,4317,7966,11117,3624,3366,4188,2346,48408,10334,2435,3065,4554,5650,4199,2485,2333,2817,5233,12283,3266,2866,15651,7152,2632,10969,21436,13105,14976,9472,64008,32783
704335,"Linux armv81",2,"1",4,1,3,1,3,1,3,3,1,3,2,3,3,4,3,3,4,3,1,2,1,4,4,5,5,5,5,5,5,5,5,4,5,"1",7033,1661,12106,39466,2417,7145,4395,8692,8194,5154,3040,10537,10878,7256,6710,7105,5865,8679,1769,5150,6997,1111,5871,5971,5956,6266,8777,1145,7347,6125,2403,4296,4375,5153,8998,6695,8621,6007,4596,9111,42789,12503,10326,8959,43800,26668
304484,"Linux armv81",1,"1",3,3,1,4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,3,5,4,3,5,3,4,3,3,3,"0",4444,1620,9451,9108,4959,10377,2866,10624,8525,6448,7253,9141,5412,7079,9644,4192,4747,4911,4477,4162,3529,3680,2646,2828,3497,3195,7232,3917,5378,2330,3497,4619,3108,5459,4594,4596,5045,4927,4598,3559,16744,13860,8136,6218,6634,6124
903396,"Linux armv81",1,"1",5,3,2,3,4,4,3,3,3,4,4,4,3,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,"1",4041,1136,11283,3833,2746,7671,4615,8839,5329,5577,5270,10029,4831,11151,4503,4128,4325,4948,4715,8291,5620,2952,151405,6868,4125,4489,4751,3467,3949,2641,3628,5264,3805,3799,3123,3636,6990,3965,3728,92657,16358,10919,315121,13292,16520,6907
475769,"iPhone",1,"1",3,2,1,4,4,4,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,5,3,5,5,5,5,5,5,5,5,5,5,"0",4325,1572,208999,13356,3417,10496,13271,8674,9612,6392,6011,14325,5191,7276,6226,5279,4846,5046,4529,3513,3299,4162,3645,5030,3563,2812,8048,6376,5445,8126,2496,4280,3446,5978,3880,4063,10976,4444,4199,2746,4779,4295,2913,1365,814,2765
885025,"Linux armv81",1,"1",4,2,2,2,1,3,2,2,2,3,5,3,2,4,2,1,2,2,5,2,5,5,5,5,5,2,4,5,5,5,5,5,5,"1",16711,4960,91976,4563,3272,16123,6985,8762,7028,8728,13031,14346,7107,7449,16581,95305,10739,7513,11560,18188,495,4204,4344,3723,26498,6353,7510,9471,5295,6666,17027,10088,4476,5605,4175,4572,7037,5033,10459,88684,17474,24999,24137,59680,38528,46703
699854,"Linux armv81",2,"1",5,4,4,4,3,4,3,3,2,4,4,4,3,4,2,3,3,2,3,3,3,3,3,2,3,3,3,5,5,5,5,4,4,"1",7691,1848,13107,169314,9485,16612,9779,5839,8673,8212,7349,10926,8513,8812,7107,5299,4588,6079,6804,4743,5084,5284,6243,4372,4437,6124,7214,6014,5020,4757,8007,9300,4666,3978,3974,3474,5323,4644,4162,24719,29370,15523,7085,24313,39590,29530
328057,"Linux armv81",2,"1",3,1,1,1,3,3,2,2,1,1,1,2,1,4,4,4,4,3,3,1,1,5,3,5,5,5,5,5,3,3,5,3,3,"0",3845,2182,22453,3646,1580,4004,4396,3765,3435,4338,6394,7352,4960,7408,3701,3239,4264,3726,5658,3539,3734,1880,2989,2726,3207,2494,1112,9070,12125,1749,2174,3502,3601,3711,3498,11976,5109,3728,3295,18327,22527,7628,6528,5549,5987,3608
226913,"iPhone",2,"1",5,5,5,3,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,"1",76324,1227,7085,3458,1952,2404,1150,849,4383,2950,3366,1616,1050,733,349,673,349,616,532,416,401,349,617,634,467,449,956,433,516,566,566,833,634,785,531,399,384,716,3023,12804,7227,10279,10680,5557,12217,7662
2303368,"iPhone",2,"1",5,,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,2,5,5,5,5,5,5,5,4,5,"1",1095821,1374,12294,9077,3075,5940,785,3607,822,4586,7104,542,3889,3955,1746,1140,1223,951,3327,1419,1705,5069,904,702,1250,7846,12996,6038,10519,3803,4265,5349,4852,2548,3622,3750,7200,3319,4517,17280,8142,14770,6572,14502,11003,10952
